ID,gene.count.original,gene.count.UMI
ENSMUSG00000028180,170,82
ENSMUSG00000028185,1,6
ENSMUSG00000028184,182,90
ENSMUSG00000028187,22,12
ENSMUSG00000028189,15,8
ENSMUSG00000028188,3,1
ENSMUSG00000035429,3,2
ENSMUSG00000020755,66,37
ENSMUSG00000020752,13,8
ENSMUSG00000069833,5,3
ENSMUSG00000033862,13,5
ENSMUSG00000033863,194,101
ENSMUSG00000069835,14,6
ENSMUSG00000028233,49,23
ENSMUSG00000028232,94,45
ENSMUSG00000028234,18,5
ENSMUSG00000044534,4,2
ENSMUSG00000027405,111,55
ENSMUSG00000027404,81,41
ENSMUSG00000027406,458,243
ENSMUSG00000018209,89,37
ENSMUSG00000044288,89,47
ENSMUSG00000044285,1,1
ENSMUSG00000022962,59,34
ENSMUSG00000006958,13,8
ENSMUSG00000087576,9,2
ENSMUSG00000058569,187,104
ENSMUSG00000058567,1,1
ENSMUSG00000021583,8,4
ENSMUSG00000021587,111,58
ENSMUSG00000021589,11,5
ENSMUSG00000086193,13,8
ENSMUSG00000086191,4,3
ENSMUSG00000030881,125,64
ENSMUSG00000026753,109,55
ENSMUSG00000026750,181,106
ENSMUSG00000081847,3,3
ENSMUSG00000026754,38,21
ENSMUSG00000026755,110,55
ENSMUSG00000007338,37,18
ENSMUSG00000081841,2,1
ENSMUSG00000059213,309,157
ENSMUSG00000075837,7,6
ENSMUSG00000086224,3,1
ENSMUSG00000086229,9,5
ENSMUSG00000081643,2,2
ENSMUSG00000081647,5,3
ENSMUSG00000085554,17,9
ENSMUSG00000004446,33,15
ENSMUSG00000089417,17,6
ENSMUSG00000047161,3,2
ENSMUSG00000085885,7,3
ENSMUSG00000085886,5,2
ENSMUSG00000085888,24,13
ENSMUSG00000029919,1,1
ENSMUSG00000029918,5,3
ENSMUSG00000029916,29,16
ENSMUSG00000029911,10,7
ENSMUSG00000029910,7,3
ENSMUSG00000043262,7,4
ENSMUSG00000026843,19,9
ENSMUSG00000034430,24,14
ENSMUSG00000034432,136,76
ENSMUSG00000083488,2,1
ENSMUSG00000053914,6,3
ENSMUSG00000017721,57,31
ENSMUSG00000017724,1,1
ENSMUSG00000009350,5,1
ENSMUSG00000015474,14,8
ENSMUSG00000015476,235,124
ENSMUSG00000078816,2522,1294
ENSMUSG00000078812,261,141
ENSMUSG00000015478,12,9
ENSMUSG00000048787,15,8
ENSMUSG00000041130,5,3
ENSMUSG00000041133,178,98
ENSMUSG00000041132,12,7
ENSMUSG00000041135,3,2
ENSMUSG00000016921,211,98
ENSMUSG00000027408,2,1
ENSMUSG00000090262,49,22
ENSMUSG00000055401,27,16
ENSMUSG00000055407,159,85
ENSMUSG00000055409,283,152
ENSMUSG00000051527,35,17
ENSMUSG00000031403,48,24
ENSMUSG00000040771,7,4
ENSMUSG00000040774,59,32
ENSMUSG00000057808,17,9
ENSMUSG00000012126,4,6
ENSMUSG00000025269,2,1
ENSMUSG00000025268,68,36
ENSMUSG00000025266,559,288
ENSMUSG00000025265,19,10
ENSMUSG00000025264,112,51
ENSMUSG00000025262,69,35
ENSMUSG00000025261,465,229
ENSMUSG00000025260,26,17
ENSMUSG00000048439,11,4
ENSMUSG00000065327,5,3
ENSMUSG00000047205,22,8
ENSMUSG00000002486,4,2
ENSMUSG00000067786,36,19
ENSMUSG00000067787,15,8
ENSMUSG00000053279,6,3
ENSMUSG00000068329,26,14
ENSMUSG00000068328,33,16
ENSMUSG00000064493,11,6
ENSMUSG00000063445,8,4
ENSMUSG00000063446,7,4
ENSMUSG00000070522,2,1
ENSMUSG00000066438,3,2
ENSMUSG00000092470,42,28
ENSMUSG00000020349,528,287
ENSMUSG00000064145,7,3
ENSMUSG00000020346,7,3
ENSMUSG00000064140,2,1
ENSMUSG00000020340,1285,654
ENSMUSG00000054728,574,298
ENSMUSG00000054720,62,30
ENSMUSG00000036745,275,140
ENSMUSG00000033510,46,28
ENSMUSG00000036748,177,91
ENSMUSG00000073867,1,1
ENSMUSG00000062797,31,18
ENSMUSG00000062794,2,2
ENSMUSG00000062421,107,50
ENSMUSG00000019066,17,9
ENSMUSG00000091461,5,2
ENSMUSG00000087298,3,2
ENSMUSG00000063362,64,30
ENSMUSG00000031918,21,11
ENSMUSG00000031916,27,23
ENSMUSG00000031917,37,21
ENSMUSG00000031910,4,2
ENSMUSG00000031913,137,77
ENSMUSG00000038633,212,112
ENSMUSG00000038630,91,46
ENSMUSG00000030357,146,80
ENSMUSG00000030350,112,66
ENSMUSG00000030352,8,4
ENSMUSG00000073460,6,3
ENSMUSG00000073468,2,1
ENSMUSG00000049690,9,5
ENSMUSG00000035329,116,57
ENSMUSG00000035325,148,75
ENSMUSG00000075705,21,14
ENSMUSG00000075704,20,11
ENSMUSG00000075707,5,2
ENSMUSG00000075706,17,10
ENSMUSG00000075701,61,33
ENSMUSG00000026956,14,7
ENSMUSG00000075702,105,53
ENSMUSG00000026958,11,6
ENSMUSG00000026959,1898,997
ENSMUSG00000056812,156,84
ENSMUSG00000043061,13,7
ENSMUSG00000043065,21,10
ENSMUSG00000043067,27,14
ENSMUSG00000022257,93,50
ENSMUSG00000022255,173,91
ENSMUSG00000022253,17,11
ENSMUSG00000029283,10,6
ENSMUSG00000031007,572,278
ENSMUSG00000068869,9,4
ENSMUSG00000028882,64,30
ENSMUSG00000028883,28,10
ENSMUSG00000028884,19,9
ENSMUSG00000088219,1,1
ENSMUSG00000028889,18,9
ENSMUSG00000029420,80,45
ENSMUSG00000029422,117,60
ENSMUSG00000029427,28,17
ENSMUSG00000029426,174,84
ENSMUSG00000035585,27,16
ENSMUSG00000025702,1,1
ENSMUSG00000034981,129,74
ENSMUSG00000021635,1,1
ENSMUSG00000021638,8,4
ENSMUSG00000021639,72,37
ENSMUSG00000032673,1,1
ENSMUSG00000032582,41,19
ENSMUSG00000074158,1,1
ENSMUSG00000032589,384,198
ENSMUSG00000030888,2,1
ENSMUSG00000030880,25,12
ENSMUSG00000033987,4,2
ENSMUSG00000033981,3158,1662
ENSMUSG00000033983,36,16
ENSMUSG00000044098,8,7
ENSMUSG00000044095,1,1
ENSMUSG00000086529,1,1
ENSMUSG00000075289,2,1
ENSMUSG00000024941,44,22
ENSMUSG00000024943,35,18
ENSMUSG00000024942,11,8
ENSMUSG00000024944,64,42
ENSMUSG00000024947,53,30
ENSMUSG00000074220,53,22
ENSMUSG00000024949,258,139
ENSMUSG00000024948,7,5
ENSMUSG00000024143,14,8
ENSMUSG00000079614,49,29
ENSMUSG00000059534,117,59
ENSMUSG00000087430,2,1
ENSMUSG00000051726,63,30
ENSMUSG00000051721,6,3
ENSMUSG00000087435,2,2
ENSMUSG00000043843,12,6
ENSMUSG00000024146,27,12
ENSMUSG00000080800,27,11
ENSMUSG00000080806,7,5
ENSMUSG00000005615,13,6
ENSMUSG00000005610,305,148
ENSMUSG00000040570,87,45
ENSMUSG00000051098,18,10
ENSMUSG00000081975,1,1
ENSMUSG00000046934,13,10
ENSMUSG00000026546,2,2
ENSMUSG00000026544,5,2
ENSMUSG00000002059,5,3
ENSMUSG00000002058,18,11
ENSMUSG00000002055,2,1
ENSMUSG00000002052,553,286
ENSMUSG00000046062,41,20
ENSMUSG00000081389,14,6
ENSMUSG00000064302,171,87
ENSMUSG00000080388,2,1
ENSMUSG00000078139,15,7
ENSMUSG00000078135,40,19
ENSMUSG00000078137,26,12
ENSMUSG00000082896,10,6
ENSMUSG00000082895,1,1
ENSMUSG00000014195,231,124
ENSMUSG00000001507,8,4
ENSMUSG00000092065,7,4
ENSMUSG00000092063,1,1
ENSMUSG00000092060,5,2
ENSMUSG00000017550,1,1
ENSMUSG00000029007,2,1
ENSMUSG00000029004,91,51
ENSMUSG00000029003,13,5
ENSMUSG00000010021,1,1
ENSMUSG00000010025,62,33
ENSMUSG00000029001,51,29
ENSMUSG00000053091,15,5
ENSMUSG00000065954,114,58
ENSMUSG00000081816,4,1
ENSMUSG00000010651,1,1
ENSMUSG00000054967,11,8
ENSMUSG00000021504,4,2
ENSMUSG00000041308,1,1
ENSMUSG00000041303,40,22
ENSMUSG00000000365,4,1
ENSMUSG00000022016,664,349
ENSMUSG00000022010,374,201
ENSMUSG00000022013,62,35
ENSMUSG00000022012,64,33
ENSMUSG00000022019,34,13
ENSMUSG00000022018,3,2
ENSMUSG00000020528,25,10
ENSMUSG00000020526,30,15
ENSMUSG00000020525,31,16
ENSMUSG00000020524,2858,1478
ENSMUSG00000020523,16,11
ENSMUSG00000020522,19,8
ENSMUSG00000020521,17,8
ENSMUSG00000020520,2,1
ENSMUSG00000091866,6,3
ENSMUSG00000091864,8,4
ENSMUSG00000091869,1,1
ENSMUSG00000028759,436,222
ENSMUSG00000013646,6,3
ENSMUSG00000057615,1,1
ENSMUSG00000057614,273,145
ENSMUSG00000028719,95,38
ENSMUSG00000028710,9,5
ENSMUSG00000028713,2,1
ENSMUSG00000035772,39,18
ENSMUSG00000025544,515,261
ENSMUSG00000025545,20,12
ENSMUSG00000035773,3,2
ENSMUSG00000052397,25,8
ENSMUSG00000035776,81,39
ENSMUSG00000052392,9,3
ENSMUSG00000039178,52,25
ENSMUSG00000067626,11,7
ENSMUSG00000067629,513,256
ENSMUSG00000025092,528,294
ENSMUSG00000021737,295,159
ENSMUSG00000021731,55,24
ENSMUSG00000021730,214,99
ENSMUSG00000021733,79,41
ENSMUSG00000021732,21,8
ENSMUSG00000021738,3,3
ENSMUSG00000035873,1,1
ENSMUSG00000035877,102,63
ENSMUSG00000008090,4,2
ENSMUSG00000070319,159,85
ENSMUSG00000086725,7,2
ENSMUSG00000086728,4,2
ENSMUSG00000039824,9,5
ENSMUSG00000039826,7,4
ENSMUSG00000039828,28,12
ENSMUSG00000051671,15,5
ENSMUSG00000020068,4,2
ENSMUSG00000020069,57,26
ENSMUSG00000020063,11,6
ENSMUSG00000020061,2,1
ENSMUSG00000063632,3,2
ENSMUSG00000020064,44,22
ENSMUSG00000090905,2,1
ENSMUSG00000030967,56,26
ENSMUSG00000030965,45,19
ENSMUSG00000070699,9,5
ENSMUSG00000070695,30,14
ENSMUSG00000048307,342,174
ENSMUSG00000070697,97,48
ENSMUSG00000004100,12,7
ENSMUSG00000033703,17,8
ENSMUSG00000033701,73,35
ENSMUSG00000033707,6,5
ENSMUSG00000033706,33,17
ENSMUSG00000037465,184,99
ENSMUSG00000037463,10,4
ENSMUSG00000037461,14,10
ENSMUSG00000001123,5,2
ENSMUSG00000001120,86,50
ENSMUSG00000031709,78,44
ENSMUSG00000031708,225,114
ENSMUSG00000031706,16,9
ENSMUSG00000031701,674,346
ENSMUSG00000031700,53,26
ENSMUSG00000031703,482,238
ENSMUSG00000003458,92,48
ENSMUSG00000023004,6,3
ENSMUSG00000023007,36,23
ENSMUSG00000026032,88,47
ENSMUSG00000026037,34,17
ENSMUSG00000026036,37,23
ENSMUSG00000026035,24,15
ENSMUSG00000026034,18,9
ENSMUSG00000026039,1,1
ENSMUSG00000034285,150,71
ENSMUSG00000034282,2,1
ENSMUSG00000073633,4,2
ENSMUSG00000073639,225,118
ENSMUSG00000049553,54,32
ENSMUSG00000049550,282,153
ENSMUSG00000049556,320,164
ENSMUSG00000069678,12,6
ENSMUSG00000069671,9,5
ENSMUSG00000046269,24,10
ENSMUSG00000022354,351,167
ENSMUSG00000022358,9,6
ENSMUSG00000022359,26,12
ENSMUSG00000034868,209,95
ENSMUSG00000034863,37,16
ENSMUSG00000074345,12,9
ENSMUSG00000045795,8,4
ENSMUSG00000089957,3,2
ENSMUSG00000006241,3,2
ENSMUSG00000042211,98,47
ENSMUSG00000042213,5,2
ENSMUSG00000042215,7,6
ENSMUSG00000039879,19,7
ENSMUSG00000042216,36,22
ENSMUSG00000045248,12,6
ENSMUSG00000032425,26,13
ENSMUSG00000032424,1,1
ENSMUSG00000032420,2,2
ENSMUSG00000032423,83,32
ENSMUSG00000032422,148,71
ENSMUSG00000029092,2,1
ENSMUSG00000029093,68,37
ENSMUSG00000029094,5,3
ENSMUSG00000044117,185,92
ENSMUSG00000029098,20,14
ENSMUSG00000041544,18,10
ENSMUSG00000058093,11,5
ENSMUSG00000041540,15,8
ENSMUSG00000024598,6,3
ENSMUSG00000050640,61,32
ENSMUSG00000024592,15,9
ENSMUSG00000024593,5,2
ENSMUSG00000024590,15,7
ENSMUSG00000031148,20,10
ENSMUSG00000024597,9,7
ENSMUSG00000024594,3,3
ENSMUSG00000032301,138,65
ENSMUSG00000026456,54,29
ENSMUSG00000032305,1,1
ENSMUSG00000041895,4,3
ENSMUSG00000041890,22,12
ENSMUSG00000041891,31,18
ENSMUSG00000047495,139,77
ENSMUSG00000047496,2,1
ENSMUSG00000051111,1,1
ENSMUSG00000051116,3,1
ENSMUSG00000014837,2,2
ENSMUSG00000000838,136,72
ENSMUSG00000066113,17,8
ENSMUSG00000057455,117,69
ENSMUSG00000055320,4,4
ENSMUSG00000082286,11,6
ENSMUSG00000080610,1,1
ENSMUSG00000085392,4,2
ENSMUSG00000057182,49,24
ENSMUSG00000057181,130,60
ENSMUSG00000061468,29,13
ENSMUSG00000061461,27,17
ENSMUSG00000061462,1,1
ENSMUSG00000016528,14,8
ENSMUSG00000016526,169,88
ENSMUSG00000016520,8,5
ENSMUSG00000081227,78,40
ENSMUSG00000081226,2,2
ENSMUSG00000053600,4,3
ENSMUSG00000053604,2,1
ENSMUSG00000091214,1,1
ENSMUSG00000091210,3,1
ENSMUSG00000091213,3,2
ENSMUSG00000056679,9,3
ENSMUSG00000036138,19,10
ENSMUSG00000036131,2,1
ENSMUSG00000078307,166,92
ENSMUSG00000078305,25,11
ENSMUSG00000051934,17,10
ENSMUSG00000037669,42,24
ENSMUSG00000028527,9,5
ENSMUSG00000092749,3,1
ENSMUSG00000032086,65,30
ENSMUSG00000039716,305,151
ENSMUSG00000039717,85,42
ENSMUSG00000039715,15,7
ENSMUSG00000039713,200,101
ENSMUSG00000090677,7,1
ENSMUSG00000090673,23,11
ENSMUSG00000078813,2,1
ENSMUSG00000015766,9,5
ENSMUSG00000019437,3,1
ENSMUSG00000019432,207,98
ENSMUSG00000028524,241,127
ENSMUSG00000090053,79,42
ENSMUSG00000031543,6,4
ENSMUSG00000050323,14,7
ENSMUSG00000050321,29,13
ENSMUSG00000031546,21,13
ENSMUSG00000031545,91,43
ENSMUSG00000003402,171,85
ENSMUSG00000025979,139,76
ENSMUSG00000025978,4,2
ENSMUSG00000025971,34,17
ENSMUSG00000091982,5,4
ENSMUSG00000021087,2533,1359
ENSMUSG00000022193,30,15
ENSMUSG00000093168,22,11
ENSMUSG00000030206,3,2
ENSMUSG00000090150,34,15
ENSMUSG00000029670,41,19
ENSMUSG00000029672,29,12
ENSMUSG00000029673,36,18
ENSMUSG00000029674,5,2
ENSMUSG00000029676,20,10
ENSMUSG00000038145,43,25
ENSMUSG00000038141,7,3
ENSMUSG00000038143,91,46
ENSMUSG00000028108,17,7
ENSMUSG00000025357,3,2
ENSMUSG00000028104,18,11
ENSMUSG00000025354,41,19
ENSMUSG00000062825,305,185
ENSMUSG00000062822,14,5
ENSMUSG00000050299,49,25
ENSMUSG00000049957,11,7
ENSMUSG00000049950,5,4
ENSMUSG00000052214,16,9
ENSMUSG00000060087,2,1
ENSMUSG00000071303,1,1
ENSMUSG00000038059,4,3
ENSMUSG00000068706,32,20
ENSMUSG00000019880,12,8
ENSMUSG00000019883,63,32
ENSMUSG00000019888,16,9
ENSMUSG00000019889,57,28
ENSMUSG00000053164,1,1
ENSMUSG00000053166,10,6
ENSMUSG00000018287,77,45
ENSMUSG00000018286,92,55
ENSMUSG00000024758,1839,958
ENSMUSG00000024759,41,19
ENSMUSG00000021508,3,1
ENSMUSG00000060559,1,1
ENSMUSG00000024750,254,140
ENSMUSG00000021500,172,94
ENSMUSG00000021501,53,32
ENSMUSG00000083416,3,1
ENSMUSG00000036275,93,46
ENSMUSG00000036270,97,49
ENSMUSG00000036273,59,28
ENSMUSG00000036278,2,1
ENSMUSG00000022972,71,32
ENSMUSG00000022974,14,6
ENSMUSG00000022978,9,5
ENSMUSG00000027221,257,135
ENSMUSG00000027220,189,93
ENSMUSG00000027223,162,85
ENSMUSG00000027222,14,8
ENSMUSG00000027227,7,4
ENSMUSG00000004730,3,1
ENSMUSG00000040928,26,12
ENSMUSG00000029993,47,28
ENSMUSG00000029992,117,65
ENSMUSG00000029998,222,109
ENSMUSG00000006464,12,10
ENSMUSG00000006463,4,1
ENSMUSG00000020607,64,36
ENSMUSG00000073682,14,6
ENSMUSG00000080518,2,2
ENSMUSG00000073771,1,1
ENSMUSG00000073775,21,6
ENSMUSG00000089239,3,1
ENSMUSG00000034126,12,6
ENSMUSG00000074093,17,7
ENSMUSG00000029330,92,49
ENSMUSG00000029333,22,10
ENSMUSG00000029335,15,5
ENSMUSG00000003178,45,23
ENSMUSG00000046434,15,10
ENSMUSG00000035299,3,2
ENSMUSG00000035298,5,2
ENSMUSG00000035293,18,7
ENSMUSG00000035297,210,112
ENSMUSG00000042532,23,14
ENSMUSG00000042535,86,37
ENSMUSG00000007415,25,14
ENSMUSG00000007411,118,58
ENSMUSG00000057236,201,103
ENSMUSG00000027340,137,76
ENSMUSG00000057230,387,211
ENSMUSG00000078546,3,2
ENSMUSG00000075327,7,3
ENSMUSG00000075324,2,1
ENSMUSG00000045160,11,5
ENSMUSG00000058600,7,5
ENSMUSG00000001151,53,24
ENSMUSG00000001150,76,38
ENSMUSG00000001158,51,28
ENSMUSG00000087327,7,4
ENSMUSG00000032212,126,61
ENSMUSG00000032216,750,391
ENSMUSG00000032217,42,27
ENSMUSG00000032215,36,17
ENSMUSG00000040265,103,57
ENSMUSG00000040263,19,10
ENSMUSG00000040268,30,18
ENSMUSG00000040269,13,9
ENSMUSG00000010797,9,7
ENSMUSG00000024251,10,8
ENSMUSG00000000282,39,18
ENSMUSG00000024259,63,45
ENSMUSG00000024258,15,10
ENSMUSG00000059486,87,50
ENSMUSG00000059482,36,19
ENSMUSG00000027552,10,3
ENSMUSG00000055489,8,4
ENSMUSG00000005107,4,3
ENSMUSG00000005102,25,16
ENSMUSG00000005103,447,233
ENSMUSG00000055480,3,3
ENSMUSG00000055485,25,10
ENSMUSG00000081440,1,1
ENSMUSG00000002944,3,1
ENSMUSG00000015354,1,1
ENSMUSG00000015357,45,36
ENSMUSG00000040482,24,12
ENSMUSG00000040483,1,1
ENSMUSG00000040481,169,86
ENSMUSG00000040488,24,10
ENSMUSG00000051306,13,7
ENSMUSG00000084159,59,33
ENSMUSG00000085218,2,1
ENSMUSG00000047284,75,44
ENSMUSG00000057229,23,13
ENSMUSG00000066705,18,13
ENSMUSG00000084160,6,3
ENSMUSG00000084162,4,2
ENSMUSG00000016194,8,5
ENSMUSG00000052763,15,7
ENSMUSG00000025658,2279,1156
ENSMUSG00000031748,763,405
ENSMUSG00000064419,19,10
ENSMUSG00000018042,78,46
ENSMUSG00000018040,28,14
ENSMUSG00000050947,48,22
